date,unit_id,event_type,category,severity
2026-01-08,DR-002,incident,curb_strike,minor
2026-01-22,DR-005,incident,door_pinch,minor
2026-02-14,DR-003,incident,payload_drop,minor
2026-03-05,DR-001,incident,curb_strike,minor
2026-03-11,DR-004,incident,intersection_conflict,moderate
2026-03-27,DR-006,incident,pedestrian_proximity,moderate
2026-04-02,DR-004,incident,intersection_conflict,moderate
2026-04-04,DR-004,incident,intersection_conflict,major
2026-04-06,DR-004,incident,intersection_conflict,moderate
2026-04-09,DR-002,incident,intersection_conflict,moderate
2026-04-11,DR-004,incident,curb_strike,minor
2026-04-14,DR-003,incident,intersection_conflict,moderate
2026-04-17,DR-004,incident,pedestrian_proximity,major
2026-04-21,DR-005,incident,intersection_conflict,moderate
2026-04-25,DR-004,incident,door_pinch,minor
2026-05-09,DR-001,incident,curb_strike,minor
2026-05-19,DR-006,incident,payload_drop,minor
2026-06-13,DR-002,incident,pedestrian_proximity,minor
2026-01-03,DR-001,near_miss,pedestrian_proximity,n/a
2026-01-06,DR-002,near_miss,curb_strike,n/a
2026-01-10,DR-003,near_miss,intersection_conflict,n/a
2026-01-15,DR-004,near_miss,door_pinch,n/a
2026-01-20,DR-005,near_miss,payload_drop,n/a
2026-01-26,DR-006,near_miss,tip_over,n/a
2026-02-02,DR-001,near_miss,curb_strike,n/a
2026-02-07,DR-002,near_miss,intersection_conflict,n/a
2026-02-11,DR-003,near_miss,door_pinch,n/a
2026-02-16,DR-004,near_miss,payload_drop,n/a
2026-02-21,DR-005,near_miss,tip_over,n/a
2026-02-24,DR-006,near_miss,pedestrian_proximity,n/a
2026-03-01,DR-001,near_miss,intersection_conflict,n/a
2026-03-08,DR-002,near_miss,door_pinch,n/a
2026-03-13,DR-003,near_miss,payload_drop,n/a
2026-03-18,DR-004,near_miss,tip_over,n/a
2026-03-22,DR-005,near_miss,pedestrian_proximity,n/a
2026-03-29,DR-006,near_miss,curb_strike,n/a
2026-04-03,DR-001,near_miss,door_pinch,n/a
2026-04-07,DR-002,near_miss,payload_drop,n/a
2026-04-12,DR-003,near_miss,tip_over,n/a
2026-04-15,DR-004,near_miss,intersection_conflict,n/a
2026-04-19,DR-005,near_miss,intersection_conflict,n/a
2026-04-28,DR-006,near_miss,pedestrian_proximity,n/a
2026-05-02,DR-001,near_miss,payload_drop,n/a
2026-05-06,DR-002,near_miss,tip_over,n/a
2026-05-11,DR-003,near_miss,pedestrian_proximity,n/a
2026-05-14,DR-004,near_miss,curb_strike,n/a
2026-05-20,DR-005,near_miss,intersection_conflict,n/a
2026-05-25,DR-006,near_miss,door_pinch,n/a
2026-06-01,DR-001,near_miss,tip_over,n/a
2026-06-05,DR-002,near_miss,pedestrian_proximity,n/a
2026-06-10,DR-003,near_miss,curb_strike,n/a
2026-06-16,DR-004,near_miss,intersection_conflict,n/a
2026-06-21,DR-005,near_miss,door_pinch,n/a
2026-06-27,DR-006,near_miss,payload_drop,n/a
