period,unit_id,operating_hours
2026-01,DR-001,200
2026-01,DR-002,200
2026-01,DR-003,200
2026-01,DR-004,200
2026-01,DR-005,200
2026-01,DR-006,200
2026-02,DR-001,200
2026-02,DR-002,200
2026-02,DR-003,200
2026-02,DR-004,200
2026-02,DR-005,200
2026-02,DR-006,200
2026-03,DR-001,200
2026-03,DR-002,200
2026-03,DR-003,200
2026-03,DR-004,200
2026-03,DR-005,200
2026-03,DR-006,200
2026-04,DR-001,200
2026-04,DR-002,200
2026-04,DR-003,200
2026-04,DR-004,200
2026-04,DR-005,200
2026-04,DR-006,200
2026-05,DR-001,200
2026-05,DR-002,200
2026-05,DR-003,200
2026-05,DR-004,200
2026-05,DR-005,200
2026-05,DR-006,200
2026-06,DR-001,200
2026-06,DR-002,200
2026-06,DR-003,200
2026-06,DR-004,200
2026-06,DR-005,200
2026-06,DR-006,200
